MAC,ssid,lat,lon
00:00:EB:80:43:A7,wifine,,
00:00:EB:80:43:E7,wifine,,
00:00:EB:80:83:47,wifine,,
00:00:EB:80:83:67,wifine,,
00:00:EB:80:83:87,wifine,,
00:00:EB:80:83:C7,wifine,,
00:00:EB:80:83:D7,wifine,,
00:00:EB:80:C3:47,wifine,,
00:00:EB:84:83:A7,wifine,,
00:00:EB:85:43:27,wifine,,
00:00:EB:85:43:A7,wifine,,
00:00:EB:8B:03:A7,wifine,,
00:00:EB:8B:03:E7,wifine,,
00:00:EB:8B:43:27,wifine,,
00:00:EB:8B:83:A7,wifine,,
00:00:EB:8C:03:07,wifine,,
00:00:EB:8C:C3:07,wifine,,
00:00:EB:8C:C3:17,wifine,,
00:00:EB:8E:03:87,wifine,,
00:00:EB:8F:83:47,wifine,,
00:00:EB:8F:83:57,wifine,,
00:00:EB:8F:C3:47,wifine,,
00:00:EB:8F:C3:67,wifine,,
00:00:EB:8F:C3:77,wifine,,
00:00:EB:92:C3:E7,wifine,,
00:00:EB:93:43:47,wifine,,
00:00:EB:95:43:67,wifine,,
00:00:EB:95:C3:07,wifine,,
00:00:EB:96:03:E7,wifine,,
00:00:EB:98:43:E7,wifine,,
00:00:EB:98:C3:E7,wifine,,
00:00:EB:99:43:67,wifine,,
00:00:EB:99:C3:87,wifine,,
00:00:EB:9A:03:47,wifine,,
00:00:EB:9B:03:27,wifine,,
00:00:EB:9B:83:07,wifine,,
00:00:EB:9B:83:27,wifine,,
00:00:EB:9D:03:67,wifine,,
00:00:EB:9D:03:C7,wifine,,
00:00:EB:9D:43:07,wifine,,
00:00:EB:9D:43:47,wifine,,
00:00:EB:9D:83:A7,wifine,,
00:00:EB:9D:83:E7,wifine,,
00:00:EB:9E:03:67,wifine,,
00:00:EB:9F:03:27,wifine,,
00:00:EB:9F:03:87,wifine,,
00:00:EB:9F:83:07,wifine,,
00:00:EB:9F:83:27,wifine,,
00:00:EB:9F:C3:27,wifine,,
00:00:EB:9F:C3:87,wifine,,
00:00:EB:9F:C3:A7,wifine,,
00:00:EB:A0:03:07,wifine,,
00:00:EB:A0:03:A7,wifine,,
00:00:EB:A0:43:07,wifine,,
00:00:EB:A0:43:27,wifine,,
00:00:EB:A0:83:07,wifine,,
00:00:EB:A0:83:47,wifine,,
00:00:EB:A0:83:A7,wifine,,
00:00:EB:A0:83:E7,wifine,,
00:00:EB:A0:C3:07,wifine,,
00:00:EB:A0:C3:27,wifine,,
00:00:EB:A0:C3:C7,wifine,,
00:00:EB:A1:03:07,wifine,,
00:00:EB:A1:03:87,wifine,,
00:00:EB:A1:03:C7,wifine,,
00:00:EB:A1:03:E7,wifine,,
00:00:EB:A1:43:27,wifine,,
00:00:EB:A1:43:47,wifine,,
00:00:EB:A1:43:67,wifine,,
00:00:EB:A1:43:87,wifine,,
00:00:EB:A1:43:A7,wifine,,
00:00:EB:A1:43:C7,wifine,,
00:00:EB:A1:83:27,wifine,,
00:00:EB:A1:C3:07,wifine,,
00:00:EB:AE:83:E7,wifine,,
00:00:EB:AF:83:E7,wifine,,
00:00:EB:AF:C3:07,wifine,,
00:00:EB:AF:C3:27,wifine,,
00:00:EB:AF:C3:47,wifine,,
00:00:EB:B0:03:47,wifine,,
00:00:EB:B0:03:87,wifine,,
00:00:EB:B0:03:E7,wifine,,
00:00:EB:B0:83:27,wifine,,
00:00:EB:B0:83:37,wifine,,
00:00:EB:B4:03:07,wifine,,
00:00:EB:B4:03:27,wifine,,
00:00:EB:B4:43:27,wifine,,
00:00:EB:B4:43:67,wifine,,
00:00:EB:B4:43:A7,wifine,,
00:00:EB:B4:43:E7,wifine,,
00:00:EB:B4:83:07,wifine,,
00:00:EB:B4:83:C7,wifine,,
00:00:EB:B4:83:E7,wifine,,
00:00:EB:B4:C3:67,wifine,,
00:00:EB:B4:C3:C7,wifine,,
00:00:EB:B4:C3:E7,wifine,,
00:00:EB:B5:03:27,wifine,,
00:00:EB:B5:83:E7,wifine,,
00:00:EB:B5:C3:07,wifine,,
00:00:EB:B5:C3:27,wifine,,
00:00:EB:B5:C3:87,wifine,,
00:00:EB:B5:C3:A7,wifine,,
00:00:EB:B5:C3:C7,wifine,,
00:00:EB:B5:C3:E7,wifine,,
00:00:EB:B6:03:07,wifine,,
00:00:EB:B6:03:27,wifine,,
00:00:EB:B6:03:67,wifine,,
